Site,Year,SNP_ID,SNP_Freq
1,2010,CE10_chr1_4049098,0.22222222
1,2011,CE10_chr1_4049098,0.07142857
1,2012,CE10_chr1_4049098,0.0000000
1,2013,CE10_chr1_4049098,0.16666667
1,2014,CE10_chr1_4049098,0.15000000
1,2010,CE10_chr1_4479979,1.00000000
1,2011,CE10_chr1_4479979,0.62500000
1,2012,CE10_chr1_4479979,1.0000000
1,2013,CE10_chr1_4479979,1.00000000
1,2014,CE10_chr1_4479979,0.87500000
1,2010,CE10_chr1_10833877,1.00000000
1,2011,CE10_chr1_10833877,1.00000000
1,2012,CE10_chr1_10833877,1.0000000
1,2013,CE10_chr1_10833877,1.00000000
1,2014,CE10_chr1_10833877,1.00000000
1,2010,CE10_chr1_44030597,1.00000000
1,2011,CE10_chr1_44030597,1.00000000
1,2012,CE10_chr1_44030597,1.0000000
1,2013,CE10_chr1_44030597,1.00000000
1,2014,CE10_chr1_44030597,1.00000000
1,2010,CE10_chr2_3759690,0.00000000
1,2011,CE10_chr2_3759690,0.00000000
1,2012,CE10_chr2_3759690,1.0000000
1,2013,CE10_chr2_3759690,1.00000000
1,2014,CE10_chr2_3759690,0.00000000
1,2010,CE10_chr2_15796296,1.00000000
1,2011,CE10_chr2_15796296,1.00000000
1,2012,CE10_chr2_15796296,1.0000000
1,2013,CE10_chr2_15796296,1.00000000
1,2014,CE10_chr2_15796296,1.00000000
1,2010,CE10_chr2_34597044,1.00000000
1,2011,CE10_chr2_34597044,1.00000000
1,2012,CE10_chr2_34597044,1.0000000
1,2013,CE10_chr2_34597044,1.00000000
1,2014,CE10_chr2_34597044,1.00000000
1,2010,CE10_chr2_41424100,0.12500000
1,2011,CE10_chr2_41424100,0.00000000
1,2012,CE10_chr2_41424100,0.0000000
1,2013,CE10_chr2_41424100,0.00000000
1,2014,CE10_chr2_41424100,0.00000000
1,2010,CE10_chr3_2788659,0.81250000
1,2011,CE10_chr3_2788659,0.85714286
1,2012,CE10_chr3_2788659,0.6666667
1,2013,CE10_chr3_2788659,0.66666667
1,2014,CE10_chr3_2788659,0.80000000
1,2010,CE10_chr3_5939143,0.00000000
1,2011,CE10_chr3_5939143,0.00000000
1,2012,CE10_chr3_5939143,0.0000000
1,2013,CE10_chr3_5939143,0.08333333
1,2014,CE10_chr3_5939143,0.05000000
1,2010,CE10_chr3_10450462,0.50000000
1,2011,CE10_chr3_10450462,NA
1,2012,CE10_chr3_10450462,0.7500000
1,2013,CE10_chr3_10450462,1.00000000
1,2014,CE10_chr3_10450462,NA
1,2010,CE10_chr3_13788660,0.06250000
1,2011,CE10_chr3_13788660,0.00000000
1,2012,CE10_chr3_13788660,0.0000000
1,2013,CE10_chr3_13788660,0.00000000
1,2014,CE10_chr3_13788660,0.00000000
1,2010,CE10_chr3_28670805,0.44444444
1,2011,CE10_chr3_28670805,0.71428571
1,2012,CE10_chr3_28670805,0.8333333
1,2013,CE10_chr3_28670805,0.91666667
1,2014,CE10_chr3_28670805,0.65000000
1,2010,CE10_chr4_10136775,0.87500000
1,2011,CE10_chr4_10136775,0.85714286
1,2012,CE10_chr4_10136775,0.8333333
1,2013,CE10_chr4_10136775,0.83333333
1,2014,CE10_chr4_10136775,0.83333333
1,2010,CE10_chr4_10157141,0.61111111
1,2011,CE10_chr4_10157141,0.41666667
1,2012,CE10_chr4_10157141,0.6666667
1,2013,CE10_chr4_10157141,0.75000000
1,2014,CE10_chr4_10157141,0.35000000
1,2010,CE10_chr4_14968062,0.72222222
1,2011,CE10_chr4_14968062,0.50000000
1,2012,CE10_chr4_14968062,0.9166667
1,2013,CE10_chr4_14968062,0.41666667
1,2014,CE10_chr4_14968062,0.65000000
1,2010,CE10_chr4_40971427,1.00000000
1,2011,CE10_chr4_40971427,1.00000000
1,2012,CE10_chr4_40971427,1.0000000
1,2013,CE10_chr4_40971427,1.00000000
1,2014,CE10_chr4_40971427,1.00000000
1,2010,CE10_chr5_8241384,0.05555556
1,2011,CE10_chr5_8241384,0.00000000
1,2012,CE10_chr5_8241384,0.0000000
1,2013,CE10_chr5_8241384,0.00000000
1,2014,CE10_chr5_8241384,0.05000000
1,2010,CE10_chr5_12014252,1.00000000
1,2011,CE10_chr5_12014252,NA
1,2012,CE10_chr5_12014252,NA
1,2013,CE10_chr5_12014252,1.00000000
1,2014,CE10_chr5_12014252,NA
1,2010,CE10_chr5_45263664,0.83333333
1,2011,CE10_chr5_45263664,0.91666667
1,2012,CE10_chr5_45263664,0.7500000
1,2013,CE10_chr5_45263664,0.80000000
1,2014,CE10_chr5_45263664,0.72222222
1,2010,CE10_chr6_216722,0.78571429
1,2011,CE10_chr6_216722,0.50000000
1,2012,CE10_chr6_216722,0.3750000
1,2013,CE10_chr6_216722,0.70000000
1,2014,CE10_chr6_216722,0.33333333
1,2010,CE10_chr6_8185880,0.61111111
1,2011,CE10_chr6_8185880,0.66666667
1,2012,CE10_chr6_8185880,0.4166667
1,2013,CE10_chr6_8185880,0.58333333
1,2014,CE10_chr6_8185880,0.75000000
1,2010,CE10_chr6_14041488,1.00000000
1,2011,CE10_chr6_14041488,1.00000000
1,2012,CE10_chr6_14041488,1.0000000
1,2013,CE10_chr6_14041488,1.00000000
