chr,win,WZA,pos,approx_p
CE10_chr1,4167,15.550395297711033,41675133.34146342,3.095645322584368e-13
CE10_chr2,9938,15.442969584739886,99375083.9861111,4.463156130271485e-13
CE10_chr3,10030,13.834062104512851,100285114.32608695,8.027679812677376e-11
CE10_chr3,10613,-10.536298714198892,106114719.20238096,6.292919201696557e-7
CE10_chr4,15850,-11.11864573644243,158474218.94791666,1.520341967999143e-7
CE10_chr4,19075,-13.052600954934876,190726314.58620688,8.234153994903403e-10
CE10_chr4,19645,11.157450426997348,196424607.2962963,1.3796173446000257e-7
CE10_chr5,20882,15.858937436729624,208784460.03896105,1.0680396151107371e-13
CE10_chr5,20887,18.242277120768055,208834609.55140188,1.4718722547326666e-17
CE10_chr5,20894,12.255954792713272,208905295.390625,7.758522595794597e-9
CE10_chr5,20900,10.543238715378768,208964644.31707317,6.189821612379522e-7
CE10_chr5,20969,13.43255767715078,209654617.5234375,2.6971764168924277e-10
CE10_chr5,23696,12.792928691531952,236925617.80327868,1.7354592820513155e-9
CE10_chr5,24633,-10.405037116973514,246296026.58333337,8.584853078675703e-7
CE10_chr6,25506,11.580079459199798,255015933.52112675,4.694940025801728e-8
CE10_chr6,26973,10.260681019057191,269683230.4166667,1.2030946307873713e-6
CE10_chr6,30187,-10.356570250177564,301825185.3716216,9.619413917158188e-7
CE10_chr6,30451,10.985654456740347,304465641.49462366,2.115874761490796e-7
CE10_chr7,31232,10.50609975943029,312263662.15384614,6.761133786670131e-7
CE10_chr7,31354,12.255300730822029,313482548,7.772405150879322e-9
CE10_chr7,31637,11.654195236502972,316315580.1182796,3.8715914356101465e-8
CE10_chr7,34186,10.315683194715806,341804914.2588235,1.0584582172632814e-6
CE10_chr7,34251,12.130380559864534,342454993.3888889,1.0917877436157469e-8
CE10_chr7,34278,10.6580097867409,342726675.19512194,4.70343477502619e-7
CE10_chr7,34282,11.547028956919982,342765472.2222222,5.1146288810829217e-8
CE10_chr7,34303,12.02406792295737,342976190.7846154,1.4542398325841556e-8
CE10_chr7,34319,10.719431874075037,343136079.64912283,4.0560866533023905e-7
CE10_chr7,34464,10.429707714230217,344585806.07894737,8.100261399331571e-7
CE10_chr7,34473,10.47847051314094,344675813.4594595,7.218778197273781e-7
CE10_chr7,35738,-15.525381205658126,357325501.1511628,3.371647789506931e-13
CE10_chr8,35823,14.131143183333425,358163409.875,3.2048377834362216e-11
CE10_chr8,35861,10.717360546459844,358544310.42105263,4.076442731162892e-7
CE10_chr8,36057,16.08977284424582,360505201.77300614,4.7553774913803244e-14
CE10_chr8,36213,10.455397255973788,362065628.5846154,7.623693935187097e-7
CE10_chr8,39769,-11.534386007753424,397623810.9183673,5.2846043644249335e-8
CE10_chr8,39772,-11.810583805827358,397654265.2363637,2.5679081351497276e-8
