Site,snp_ID,Slope
1,CE10_chr1_263150,0.30628582477204236
2,CE10_chr1_263150,0.444657777192653
3,CE10_chr1_263150,0.45705544462081377
4,CE10_chr1_263150,0.5685440824375068
5,CE10_chr1_263150,0.46703232512909965
6,CE10_chr1_263150,0.41939187479877854
7,CE10_chr1_263150,0.5000000000054193
8,CE10_chr1_263150,0.5802137585612558
9,CE10_chr1_263150,0.5298699170304225
10,CE10_chr1_263150,0.5890489244038267
11,CE10_chr1_263150,0.38302552950314694
12,CE10_chr1_263150,0.5129320206883207
1,CE10_chr1_325019,0.5839692519662752
2,CE10_chr1_325019,0.47949825229243703
3,CE10_chr1_325019,0.5548457568914038
4,CE10_chr1_325019,0.4915533612371181
5,CE10_chr1_325019,0.4636978225524013
6,CE10_chr1_325019,0.6317837783642806
7,CE10_chr1_325019,0.3949395070236553
8,CE10_chr1_325019,0.5885356837189817
9,CE10_chr1_325019,0.5257681079838807
10,CE10_chr1_325019,0.4844555990921976
11,CE10_chr1_325019,0.449595749897703
12,CE10_chr1_325019,0.5311540878212033
1,CE10_chr1_721069,1.4978493776499553e-10
2,CE10_chr1_721069,0.5000000000000002
3,CE10_chr1_721069,0.4443342139853562
4,CE10_chr1_721069,0.6094551772089012
5,CE10_chr1_721069,0.6500448972167251
6,CE10_chr1_721069,0.4945456506352242
7,CE10_chr1_721069,0.5216590811208075
8,CE10_chr1_721069,0.19872908961877014
9,CE10_chr1_721069,0.5066571091246924
10,CE10_chr1_721069,0.523473482720621
11,CE10_chr1_721069,0.5653927211963071
12,CE10_chr1_721069,0.49999999999999956
1,CE10_chr1_1155679,0.4251933044024347
2,CE10_chr1_1155679,0.4841611340455666
3,CE10_chr1_1155679,0.5004564828227563
4,CE10_chr1_1155679,0.5000000384391463
5,CE10_chr1_1155679,0.5242955555881065
6,CE10_chr1_1155679,NA
7,CE10_chr1_1155679,0.5233035101273956
8,CE10_chr1_1155679,NA
9,CE10_chr1_1155679,0.9994592555447448
10,CE10_chr1_1155679,NA
11,CE10_chr1_1155679,0.5274533485658637
12,CE10_chr1_1155679,0.9999999984169265
1,CE10_chr1_1333575,0.4999999998030502
2,CE10_chr1_1333575,0.4999999999317133
3,CE10_chr1_1333575,0.5000000671354485
4,CE10_chr1_1333575,0.4999999998030502
5,CE10_chr1_1333575,0.5000000615988369
6,CE10_chr1_1333575,0.5000000567211332
7,CE10_chr1_1333575,0.4999999410346017
8,CE10_chr1_1333575,0.500000029509301
9,CE10_chr1_1333575,0.4999999334005162
10,CE10_chr1_1333575,0.50000000015009
11,CE10_chr1_1333575,0.5000000615988369
12,CE10_chr1_1333575,0.5000000001034787
1,CE10_chr1_1722642,0.40129675380562413
2,CE10_chr1_1722642,0.45835903278691237
3,CE10_chr1_1722642,0.5239397630960038
4,CE10_chr1_1722642,0.4218251414120543
5,CE10_chr1_1722642,0.47619678965778467
6,CE10_chr1_1722642,0.3807011681862065
7,CE10_chr1_1722642,0.5000000000000012
8,CE10_chr1_1722642,0.500000029509301
9,CE10_chr1_1722642,0.556532859208759
10,CE10_chr1_1722642,0.58021271805287
11,CE10_chr1_1722642,0.5146200273959488
12,CE10_chr1_1722642,0.5113591941654033
1,CE10_chr1_2597178,0.43248254716848344
2,CE10_chr1_2597178,0.45404399616062935
3,CE10_chr1_2597178,0.5017458665385128
4,CE10_chr1_2597178,0.9999999996669766
5,CE10_chr1_2597178,0.48952573899235885
6,CE10_chr1_2597178,0.42979834623627483
7,CE10_chr1_2597178,0.4711569629908331
8,CE10_chr1_2597178,0.41674929321160525
9,CE10_chr1_2597178,0.47095236521269956
10,CE10_chr1_2597178,0.4893556429276424
11,CE10_chr1_2597178,0.4760212225890164
12,CE10_chr1_2597178,0.5612247672390164
1,CE10_chr1_2615246,0.6453639079816984
2,CE10_chr1_2615246,0.5078908938372965
3,CE10_chr1_2615246,0.5631577533379001
4,CE10_chr1_2615246,0.46151325072146626
5,CE10_chr1_2615246,0.4417185240459781
6,CE10_chr1_2615246,0.005737146825098606
7,CE10_chr1_2615246,1.607452554533326e-5
8,CE10_chr1_2615246,0.5
9,CE10_chr1_2615246,0.6707304829466421
10,CE10_chr1_2615246,0.9999999984876871
11,CE10_chr1_2615246,0.45967863692897803
12,CE10_chr1_2615246,0.5000000001034787
1,CE10_chr1_2867472,6.932726488306649e-10
2,CE10_chr1_2867472,1.9814109606206516e-9
3,CE10_chr1_2867472,0.4936690002035091
4,CE10_chr1_2867472,0.2608049927544043
5,CE10_chr1_2867472,0.57919807898017
6,CE10_chr1_2867472,0.4632554305783034
7,CE10_chr1_2867472,5.920636127373257e-5
8,CE10_chr1_2867472,0.47766074836483224
9,CE10_chr1_2867472,0.541842867429346
10,CE10_chr1_2867472,0.5088973526394375
11,CE10_chr1_2867472,0.5877566150831067
12,CE10_chr1_2867472,0.5053780203928663
1,CE10_chr1_3643398,0.5000000000000338
2,CE10_chr1_3643398,1.4233904286834312e-09
3,CE10_chr1_3643398,0.49999999999999867
4,CE10_chr1_3643398,0.5000000000000011
5,CE10_chr1_3643398,0.4999999999999998
6,CE10_chr1_3643398,0.49999999999999845
7,CE10_chr1_3643398,0.5000000000000022
8,CE10_chr1_3643398,0.5000000000000004
9,CE10_chr1_3643398,0.4999999999999992
10,CE10_chr1_3643398,0.5
11,CE10_chr1_3643398,0.4999999999999998
12,CE10_chr1_3643398,0.6287307722949291
1,CE10_chr1_4167837,0.46940314771670366
2,CE10_chr1_4167837,0.4112093583592661
3,CE10_chr1_4167837,0.4695875487331377
4,CE10_chr1_4167837,0.3786579035713638
5,CE10_chr1_4167837,0.5362550837371374
