chr,win,WZA,pos,approx_p
CE10_chr1,4167,11.903356953464558,41675133.34146342,4.1108940756066315e-8
CE10_chr2,4600,11.501722019948405,45993903.9375,1.1282936522422285e-7
CE10_chr2,4864,11.51464081549752,48635880.24271844,1.0927824252240135e-7
CE10_chr2,5014,10.50749322672125,50134612.820512824,1.1977281489340957e-6
CE10_chr2,5294,11.66757007817794,52933630.56060606,7.465124309997316e-8
CE10_chr2,8119,10.933430511131297,81186439.04347827,4.458636806525566e-7
CE10_chr2,8132,11.613531837335,81315939.08823529,8.545658005126239e-8
CE10_chr3,10030,12.015319297471986,100285114.32608695,3.0848188793260324e-8
CE10_chr3,10624,-12.650322697613896,106226088.55932204,5.774695481978685e-9
CE10_chr3,11499,12.095220725420557,114975530.9528302,2.5094233692534843e-8
CE10_chr4,19075,-11.748395642127866,190726314.58620688,6.091972503469567e-8
CE10_chr4,19536,11.958274808970218,195335203.7530864,3.5719227369023006e-8
CE10_chr5,20882,14.137817343595426,208784460.03896105,8.329914706037098e-11
CE10_chr5,20886,14.29421133316984,208825164.0818182,5.1995996407322956e-11
CE10_chr5,20888,14.948713998519857,208845974.54929575,6.861609206176509e-12
CE10_chr5,23696,11.232258480595537,236925617.80327868,2.1819555897521861e-7
CE10_chr5,24633,-13.523738742417745,246296026.58333337,5.055841182683348e-10
CE10_chr6,25506,11.10539118210473,255015933.52112675,2.961707648947368e-7
CE10_chr6,26082,10.986265694278655,260775528.82352945,3.934462087545464e-7
CE10_chr6,30210,10.832995245007815,302055101.765625,5.646699743361808e-7
CE10_chr7,31319,12.080069418289646,313135655.225,2.6098594126366163e-8
CE10_chr7,31320,12.72588605488914,313145294.62608695,4.705670868629038e-9
CE10_chr7,31354,11.833987928885636,313482548,4.905242291683984e-8
CE10_chr7,31637,10.95109384710691,316315580.1182796,4.276318692526779e-7
CE10_chr7,32366,-10.722932607252186,323604351.4505494,7.298441527738975e-7
CE10_chr7,34251,12.107882031781436,342454993.3888889,2.4283793159226578e-8
CE10_chr7,34282,10.777537843394986,342765472.2222222,6.42796277042815e-7
CE10_chr7,34303,11.328462238516424,342976190.7846154,1.7270384915345226e-7
CE10_chr7,34319,10.486764823964238,343136079.64912283,1.2555890646924543e-6
CE10_chr7,34464,10.994817207902932,344585806.07894737,3.855418978283461e-7
CE10_chr7,34465,11.560973705509385,344594009.225,9.741040454558257e-8
CE10_chr7,34473,10.59165064639115,344675813.4594595,9.880857239060706e-7
CE10_chr7,35213,-10.625784440080997,352073226.06060606,9.13543279589416e-7
CE10_chr8,35823,13.075691304375036,358163409.875,1.7973094446989532e-9
CE10_chr8,35861,11.411576805201792,358544310.42105263,1.4090767457658813e-7
CE10_chr8,36057,18.448806702055805,360505201.77300614,3.166990971774859e-17
CE10_chr8,37167,10.526919309463034,371605004.32222223,1.1458373199454214e-6
CE10_chr8,39769,-11.945061623769224,397623810.9183673,3.6949667268652546e-8
CE10_chr8,39772,-12.86997969511047,397654265.2363637,3.174800188218282e-9
CE10_chr8,39821,-10.791906442738792,398146171.0588235,6.216089092603127e-7
CE10_chr8,40801,10.978382136031414,407947907.8780488,4.008714797876043e-7
