Site,Year,SNP_ID,SNP_Freq
North,2010,CE10_chr1_2147470,1.00000000
North,2011,CE10_chr1_2147470,1.00000000
North,2012,CE10_chr1_2147470,1.00000000
North,2013,CE10_chr1_2147470,1.0000000
North,2014,CE10_chr1_2147470,1.00000000
North,2015,CE10_chr1_2147470,1.00000000
North,2016,CE10_chr1_2147470,1.00000000
North,2010,CE10_chr1_13689827,0.43750000
North,2011,CE10_chr1_13689827,0.65384615
North,2012,CE10_chr1_13689827,0.46666667
North,2013,CE10_chr1_13689827,0.5000000
North,2014,CE10_chr1_13689827,0.40625000
North,2015,CE10_chr1_13689827,0.50000000
North,2016,CE10_chr1_13689827,0.57894737
North,2010,CE10_chr1_35599208,0.23684211
North,2011,CE10_chr1_35599208,0.23076923
North,2012,CE10_chr1_35599208,0.40000000
North,2013,CE10_chr1_35599208,0.5000000
North,2014,CE10_chr1_35599208,0.35294118
North,2015,CE10_chr1_35599208,0.20000000
North,2016,CE10_chr1_35599208,0.17567568
North,2010,CE10_chr1_41709175,0.19444444
North,2011,CE10_chr1_41709175,0.50000000
North,2012,CE10_chr1_41709175,0.34375000
North,2013,CE10_chr1_41709175,0.0000000
North,2014,CE10_chr1_41709175,0.60000000
North,2015,CE10_chr1_41709175,0.40322581
North,2016,CE10_chr1_41709175,0.34210526
North,2010,CE10_chr2_4219107,0.58823529
North,2011,CE10_chr2_4219107,0.78571429
North,2012,CE10_chr2_4219107,0.46875000
North,2013,CE10_chr2_4219107,0.3333333
North,2014,CE10_chr2_4219107,0.58333333
North,2015,CE10_chr2_4219107,0.50000000
North,2016,CE10_chr2_4219107,0.71621622
North,2010,CE10_chr2_4461283,0.11111111
North,2011,CE10_chr2_4461283,0.17857143
North,2012,CE10_chr2_4461283,0.30000000
North,2013,CE10_chr2_4461283,0.3333333
North,2014,CE10_chr2_4461283,0.38235294
North,2015,CE10_chr2_4461283,0.05000000
North,2016,CE10_chr2_4461283,0.08108108
North,2010,CE10_chr2_4746985,0.36842105
North,2011,CE10_chr2_4746985,0.19230769
North,2012,CE10_chr2_4746985,0.53333333
North,2013,CE10_chr2_4746985,0.0000000
North,2014,CE10_chr2_4746985,0.30555556
North,2015,CE10_chr2_4746985,0.40000000
North,2016,CE10_chr2_4746985,0.42105263
North,2010,CE10_chr2_8546877,0.05555556
North,2011,CE10_chr2_8546877,0.00000000
North,2012,CE10_chr2_8546877,0.00000000
North,2013,CE10_chr2_8546877,0.0000000
North,2014,CE10_chr2_8546877,0.07894737
North,2015,CE10_chr2_8546877,0.00000000
North,2016,CE10_chr2_8546877,0.01351351
North,2010,CE10_chr2_8832748,0.05263158
North,2011,CE10_chr2_8832748,0.17857143
North,2012,CE10_chr2_8832748,0.25000000
North,2013,CE10_chr2_8832748,0.0000000
North,2014,CE10_chr2_8832748,0.08333333
North,2015,CE10_chr2_8832748,0.11666667
North,2016,CE10_chr2_8832748,0.08108108
North,2010,CE10_chr2_30518370,0.61111111
North,2011,CE10_chr2_30518370,0.73076923
North,2012,CE10_chr2_30518370,0.62500000
North,2013,CE10_chr2_30518370,1.0000000
North,2014,CE10_chr2_30518370,0.52941176
North,2015,CE10_chr2_30518370,0.64516129
North,2016,CE10_chr2_30518370,0.69444444
North,2010,CE10_chr2_52215893,0.12500000
North,2011,CE10_chr2_52215893,0.00000000
North,2012,CE10_chr2_52215893,0.00000000
North,2013,CE10_chr2_52215893,0.0000000
North,2014,CE10_chr2_52215893,0.00000000
North,2015,CE10_chr2_52215893,0.01785714
North,2016,CE10_chr2_52215893,0.01785714
North,2010,CE10_chr2_52321912,0.36111111
North,2011,CE10_chr2_52321912,0.66666667
North,2012,CE10_chr2_52321912,0.64285714
North,2013,CE10_chr2_52321912,0.5000000
North,2014,CE10_chr2_52321912,0.71052632
North,2015,CE10_chr2_52321912,0.45161290
North,2016,CE10_chr2_52321912,0.47297297
North,2010,CE10_chr3_388850,1.00000000
North,2011,CE10_chr3_388850,1.00000000
North,2012,CE10_chr3_388850,1.00000000
North,2013,CE10_chr3_388850,NA
North,2014,CE10_chr3_388850,1.00000000
North,2015,CE10_chr3_388850,1.00000000
North,2016,CE10_chr3_388850,1.00000000
North,2010,CE10_chr3_2738056,0.30000000
North,2011,CE10_chr3_2738056,0.18750000
North,2012,CE10_chr3_2738056,0.16666667
North,2013,CE10_chr3_2738056,1.0000000
North,2014,CE10_chr3_2738056,0.33333333
North,2015,CE10_chr3_2738056,0.19230769
North,2016,CE10_chr3_2738056,0.27586207
North,2010,CE10_chr3_12506732,0.39473684
North,2011,CE10_chr3_12506732,0.60714286
North,2012,CE10_chr3_12506732,0.56666667
North,2013,CE10_chr3_12506732,0.5000000
North,2014,CE10_chr3_12506732,0.63157895
North,2015,CE10_chr3_12506732,0.43333333
North,2016,CE10_chr3_12506732,0.44594595
North,2010,CE10_chr3_13823584,0.11111111
North,2011,CE10_chr3_13823584,0.00000000
North,2012,CE10_chr3_13823584,0.18750000
North,2013,CE10_chr3_13823584,0.2500000
North,2014,CE10_chr3_13823584,0.13888889
North,2015,CE10_chr3_13823584,0.06666667
North,2016,CE10_chr3_13823584,0.08108108
North,2010,CE10_chr3_14388869,0.44444444
North,2011,CE10_chr3_14388869,0.50000000
North,2012,CE10_chr3_14388869,0.66666667
North,2013,CE10_chr3_14388869,0.6666667
North,2014,CE10_chr3_14388869,0.64705882
North,2015,CE10_chr3_14388869,0.60344828
North,2016,CE10_chr3_14388869,0.51315789
North,2010,CE10_chr3_18123461,0.97368421
North,2011,CE10_chr3_18123461,1.00000000
North,2012,CE10_chr3_18123461,1.00000000
North,2013,CE10_chr3_18123461,0.5000000
North,2014,CE10_chr3_18123461,0.97368421
North,2015,CE10_chr3_18123461,1.00000000
North,2016,CE10_chr3_18123461,1.00000000
North,2010,CE10_chr3_33045714,0.94444444
North,2011,CE10_chr3_33045714,1.00000000
North,2012,CE10_chr3_33045714,1.00000000
North,2013,CE10_chr3_33045714,0.6666667
North,2014,CE10_chr3_33045714,0.97368421
North,2015,CE10_chr3_33045714,1.00000000
North,2016,CE10_chr3_33045714,1.00000000
North,2010,CE10_chr4_26042177,0.47222222
North,2011,CE10_chr4_26042177,0.46153846
North,2012,CE10_chr4_26042177,0.43750000
North,2013,CE10_chr4_26042177,0.0000000
North,2014,CE10_chr4_26042177,0.67647059
North,2015,CE10_chr4_26042177,0.45000000
North,2016,CE10_chr4_26042177,0.45833333
North,2010,CE10_chr4_48034515,0.00000000
North,2011,CE10_chr4_48034515,0.00000000
North,2012,CE10_chr4_48034515,0.00000000
North,2013,CE10_chr4_48034515,0.0000000
North,2014,CE10_chr4_48034515,0.00000000
North,2015,CE10_chr4_48034515,0.00000000
North,2016,CE10_chr4_48034515,0.00000000
