chr_snp,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110
CE10_chr1_865732,13,5,6,4,9,5,5,5,6,4,20,0,3,9,6,2,7,11,13,7,11,9,13,7,20,0,17,3,16,0,13,1,8,2,10,0,8,0,2,2,10,0,8,0,12,0,17,3,18,2,7,1,2,2,1,1,8,0,4,0,2,0,12,0,16,0,19,1,15,1,18,0,17,3,2,0,19,1,7,1,4,0,17,1,10,0,2,2,5,3,9,7,4,6,7,7,5,15,0,6,2,0,0,4,0,6,0,2,11,9
CE10_chr1_4675850,4,0,6,0,10,0,10,0,6,0,20,0,14,0,4,0,14,0,20,0,18,0,14,0,10,0,4,0,14,0,4,0,18,0,8,0,4,0,4,0,10,0,6,0,2,0,12,0,16,0,8,0,4,0,2,0,8,0,2,0,2,0,4,0,12,0,18,0,14,0,12,0,12,0,4,0,16,0,10,0,4,0,20,0,8,0,4,0,4,0,14,0,10,0,14,0,20,0,6,0,2,0,4,0,6,0,2,0,16,0
CE10_chr1_10682650,12,0,6,0,14,0,6,0,12,0,16,0,8,0,8,0,18,0,14,0,18,0,18,0,12,0,8,2,12,0,4,0,16,0,6,0,8,0,4,0,10,0,6,0,12,0,16,0,14,0,4,0,2,0,2,0,8,0,2,0,0,0,0,0,18,0,20,0,12,0,18,0,20,0,4,0,18,0,8,0,2,0,6,0,10,0,2,0,4,0,6,0,6,0,0,0,16,0,6,0,2,0,4,0,6,0,2,0,18,0
CE10_chr1_41673992,14,2,6,2,6,8,2,8,1,13,1,19,2,14,0,8,8,10,0,14,2,18,17,3,22,0,10,10,14,6,14,0,16,2,5,5,4,4,4,0,10,0,5,3,11,1,10,10,5,15,2,6,0,4,0,2,1,7,4,0,2,0,9,5,0,18,3,17,0,16,1,17,2,18,1,3,6,12,4,6,0,6,10,8,3,5,0,4,2,4,10,6,0,10,0,14,0,20,0,4,0,2,0,4,0,6,1,1,2,16
CE10_chr1_41674533,14,4,9,1,5,9,3,7,4,10,1,19,2,14,0,8,7,11,0,20,1,17,20,0,22,0,20,0,20,0,14,0,16,2,10,0,7,1,4,0,10,0,5,3,10,2,9,11,4,16,2,6,0,4,0,2,1,7,4,0,2,0,7,7,0,20,4,16,0,16,1,17,2,18,1,3,9,11,5,5,0,8,7,7,3,7,0,4,2,6,11,5,0,10,0,14,0,18,0,6,0,0,0,4,0,6,1,1,1,19
CE10_chr1_41675430,6,8,7,1,4,10,3,7,3,9,2,18,0,16,0,8,7,11,0,16,0,20,16,4,12,2,3,13,10,8,5,3,15,3,3,7,1,5,3,1,10,0,5,3,10,2,6,12,5,15,3,5,0,4,0,2,1,7,4,0,1,1,8,6,0,20,2,18,0,16,2,16,2,18,2,2,6,14,5,5,0,8,8,10,3,7,0,4,2,6,8,8,0,10,0,14,0,20,0,6,0,2,0,4,0,6,0,2,1,19
CE10_chr1_41675448,7,9,9,1,4,10,3,7,3,9,2,18,0,16,0,8,5,13,0,14,0,20,16,4,12,8,5,15,11,9,8,6,15,3,3,7,1,5,3,1,8,2,5,3,10,2,6,12,5,15,3,5,0,4,0,2,1,7,2,2,1,1,7,7,0,20,2,18,0,16,2,16,2,18,2,2,6,14,5,5,0,8,8,10,3,7,0,4,2,6,8,8,0,10,0,14,0,20,0,6,0,2,0,4,0,6,0,2,1,19
CE10_chr1_41675470,9,9,9,1,4,10,3,7,3,9,2,18,0,14,0,8,7,11,0,14,0,20,16,4,14,6,6,12,10,10,6,6,15,3,3,7,1,7,3,1,10,0,5,3,8,4,7,11,5,15,3,5,0,4,0,2,1,7,4,0,1,1,8,6,0,20,3,17,0,16,2,16,2,16,2,2,5,15,5,5,0,8,10,10,3,7,0,4,2,6,8,8,0,10,0,14,0,20,0,6,0,2,0,4,0,6,0,2,1,19
CE10_chr1_41675824,0,14,2,4,1,13,1,9,1,11,2,18,0,14,0,8,0,16,0,20,0,18,0,14,2,12,0,16,0,16,3,11,0,10,0,8,0,8,0,2,2,2,2,4,0,12,3,15,1,13,2,6,0,4,0,2,0,6,2,0,1,1,2,12,0,20,0,18,0,16,0,18,2,18,0,4,4,14,0,2,0,8,8,10,0,10,0,4,0,8,11,5,0,10,0,14,0,20,0,6,0,2,0,2,0,6,0,2,0,18
CE10_chr1_41675881,18,0,10,0,3,9,3,7,4,8,2,18,2,12,0,8,4,10,0,20,3,15,20,0,22,0,18,0,20,0,14,0,16,2,10,0,7,1,4,0,10,0,5,3,10,2,14,6,5,15,2,6,0,4,0,2,1,7,4,0,1,1,5,9,3,17,11,9,0,16,2,12,3,15,0,4,10,10,4,4,0,8,6,8,3,7,0,4,3,5,9,7,0,10,0,14,0,18,0,6,0,2,0,0,0,6,0,2,3,17
