chr_snp,Env,BF
CE10_chr1_865732,1,30.88410024
CE10_chr1_4675850,1,31.53882359
CE10_chr1_10682650,1,30.92863916
CE10_chr2_2890930,1,40.47255851
CE10_chr2_13563156,1,34.14624381
CE10_chr2_22904891,1,33.26969198
CE10_chr2_41091592,1,39.71564205
CE10_chr2_44949494,1,32.44051127
CE10_chr4_9736713,1,38.04157378
CE10_chr4_45367078,1,38.7381815
CE10_chr5_6592466,1,36.27275184
CE10_chr5_8751850,1,40.24457258
CE10_chr5_35111467,1,39.11402739
CE10_chr6_257233,1,31.51528296
CE10_chr6_1416066,1,31.84187074
CE10_chr6_8042005,1,45.26678154
CE10_chr6_60718601,1,32.13947597
CE10_chr7_11015414,1,30.26853556
CE10_chr7_11303734,1,30.65148739
CE10_chr7_18760873,1,32.32247114
CE10_chr7_23178958,1,36.84613685
CE10_chr7_23731913,1,33.70024889
CE10_chr7_28948567,1,32.21326095
CE10_chr7_39914579,1,31.24843227
CE10_chr7_40848773,1,32.97423251
CE10_chr8_47752251,1,31.10042001
CE10_chr1_602,1,-9.53342653
CE10_chr1_1063,1,-12.55594957
CE10_chr1_1334,1,-7.53317873
CE10_chr1_1428,1,-10.5300867
CE10_chr1_1494,1,-4.72549686
CE10_chr1_1978,1,-7.08077391
CE10_chr1_2248,1,-3.66059817
CE10_chr1_2556,1,-3.84424084
CE10_chr1_3180,1,-7.44835058
CE10_chr1_3213,1,-5.87128367
CE10_chr1_3239,1,-3.85671484
CE10_chr1_4459,1,-10.99147323
CE10_chr1_4575,1,-7.0079674
CE10_chr1_4634,1,-6.61542962
CE10_chr1_4644,1,-11.1088441
CE10_chr1_4750,1,-6.05532223
CE10_chr1_5585,1,-9.19721178
CE10_chr1_6457,1,-3.26907856
CE10_chr1_6573,1,-8.81842266
CE10_chr1_7047,1,-4.28814711
CE10_chr1_7213,1,-11.51299722
CE10_chr1_7504,1,-3.78718799
CE10_chr1_8113,1,-7.93016628
CE10_chr1_8203,1,-7.64183892
CE10_chr1_8430,1,-1.20495485
CE10_chr1_300032,1,-12.89383172
CE10_chr1_300047,1,-9.08296958
CE10_chr1_300072,1,-7.16200172
CE10_chr1_300102,1,-6.43978498
CE10_chr1_300115,1,-8.26818134
CE10_chr1_300138,1,-7.14374428
CE10_chr1_300234,1,-7.05422665
CE10_chr1_300253,1,-5.93168869
CE10_chr1_300275,1,-6.15641824
CE10_chr1_300285,1,-12.2689127
CE10_chr1_300313,1,-3.33155315
CE10_chr1_300588,1,-6.49954001
CE10_chr1_300664,1,-9.31735571
CE10_chr1_300750,1,-12.68219185
CE10_chr1_300786,1,-13.13990764
CE10_chr1_300929,1,-10.86159778
CE10_chr1_300957,1,-6.48023976
CE10_chr1_301033,1,-11.70079049
CE10_chr1_301104,1,-6.80284762
CE10_chr1_301138,1,-8.61927662
CE10_chr1_301181,1,-9.48525572
CE10_chr1_301349,1,-8.45976418
CE10_chr1_301366,1,-10.37716605
CE10_chr1_301515,1,-5.81261483
CE10_chr1_301563,1,-10.10300643
CE10_chr1_301564,1,-6.11439701
CE10_chr1_301684,1,-7.80729824
CE10_chr1_301786,1,-5.49914689
CE10_chr1_301940,1,-3.51053504
CE10_chr1_301953,1,-4.05855653
CE10_chr1_301986,1,-9.84900026
CE10_chr1_302001,1,-5.80352066
CE10_chr1_302390,1,-7.76396574
CE10_chr1_302403,1,-7.57084588
CE10_chr1_302579,1,-9.49723565
CE10_chr1_302587,1,-5.8340179
CE10_chr1_302599,1,-9.09888089
CE10_chr1_302613,1,-7.23304774
CE10_chr1_302761,1,-7.02295428
CE10_chr1_302846,1,-11.9013011
CE10_chr1_302869,1,-5.56159742
CE10_chr1_302876,1,-11.44914518
CE10_chr1_303176,1,-8.8476912
CE10_chr1_303227,1,-7.57389612
CE10_chr1_303469,1,-9.46501765
CE10_chr1_303480,1,-7.71532997
CE10_chr1_303504,1,-9.35758174
CE10_chr1_303516,1,-9.04971893
CE10_chr1_303628,1,-9.71515702
CE10_chr1_303661,1,-1.57012297
CE10_chr1_303685,1,-9.0795107
CE10_chr1_304130,1,-3.52520017
CE10_chr1_304272,1,-7.60830638
CE10_chr1_304296,1,-4.02855211
CE10_chr1_304325,1,-7.77046463
CE10_chr1_304354,1,-5.48135981
CE10_chr1_304396,1,-6.5008867
CE10_chr1_304880,1,-8.82137767
CE10_chr1_304931,1,-8.96168717
CE10_chr1_305006,1,-2.94489718
CE10_chr1_305074,1,-12.61569585
CE10_chr1_305822,1,-5.64880699
CE10_chr1_305829,1,-8.45755652
CE10_chr1_305862,1,-11.15052129
CE10_chr1_305876,1,-7.3581127
CE10_chr1_305975,1,-9.32294828
CE10_chr1_306426,1,-6.69713712
CE10_chr1_306791,1,-9.12669404
CE10_chr1_306991,1,-8.11357485
CE10_chr1_306996,1,-14.429179
CE10_chr1_307047,1,-9.16955975
CE10_chr1_307117,1,-5.8697732
CE10_chr1_307245,1,-7.72408345
CE10_chr1_307464,1,-8.69497967
CE10_chr1_307544,1,-8.17906888
CE10_chr1_307605,1,-7.43036598
CE10_chr1_307842,1,-3.98132702
CE10_chr1_307862,1,-2.73780962
CE10_chr1_307891,1,-7.08131505
CE10_chr1_307979,1,-7.93233558
CE10_chr1_308024,1,-9.79680292
CE10_chr1_308043,1,-7.47429265
CE10_chr1_308100,1,-8.9939133000000009
CE10_chr1_308152,1,-5.95161127
CE10_chr1_308175,1,-9.28878758
CE10_chr1_309027,1,2.56656183
CE10_chr1_309764,1,-11.78413323
CE10_chr1_380296,1,-7.94671268
CE10_chr1_381260,1,-10.05727722
CE10_chr1_381306,1,-6.60252355
CE10_chr1_381456,1,-8.81657237
CE10_chr1_381520,1,-3.23033424
CE10_chr1_381596,1,-10.16152127
CE10_chr1_381629,1,-10.03340924
CE10_chr1_382011,1,-11.87483114
CE10_chr1_382465,1,-9.35429659
CE10_chr1_382508,1,-11.94423923
CE10_chr1_382623,1,-6.61696441
CE10_chr1_382757,1,-10.54672573
CE10_chr1_382779,1,-6.78695547
CE10_chr1_382801,1,-7.81802334
CE10_chr1_382853,1,-9.44513094
CE10_chr1_382928,1,-11.2117934
CE10_chr1_382947,1,-10.70339856
CE10_chr1_382974,1,-7.80229134
CE10_chr1_383060,1,-9.06301033
CE10_chr1_383085,1,-9.51556306
CE10_chr1_383161,1,-3.48650308
CE10_chr1_383202,1,-10.16428116
CE10_chr1_383251,1,-8.27415936
CE10_chr1_383788,1,-10.74004375
