Site,Year,SNP_ID,SNP_Freq
1,2010,CE10_chr1_149847,1.00000000
1,2011,CE10_chr1_149847,1.00000000
1,2012,CE10_chr1_149847,1.00000000
1,2013,CE10_chr1_149847,1.00000000
1,2014,CE10_chr1_149847,1.00000000
1,2010,CE10_chr1_165017,1.00000000
1,2011,CE10_chr1_165017,1.00000000
1,2012,CE10_chr1_165017,1.00000000
1,2013,CE10_chr1_165017,1.00000000
1,2014,CE10_chr1_165017,1.00000000
1,2010,CE10_chr1_325403,0.55555556
1,2011,CE10_chr1_325403,0.58333333
1,2012,CE10_chr1_325403,0.58333333
1,2013,CE10_chr1_325403,0.50000000
1,2014,CE10_chr1_325403,0.65000000
1,2010,CE10_chr1_401050,0.87500000
1,2011,CE10_chr1_401050,0.78571429
1,2012,CE10_chr1_401050,0.75000000
1,2013,CE10_chr1_401050,0.75000000
1,2014,CE10_chr1_401050,0.90000000
1,2010,CE10_chr1_874129,1.00000000
1,2011,CE10_chr1_874129,1.00000000
1,2012,CE10_chr1_874129,1.00000000
1,2013,CE10_chr1_874129,1.00000000
1,2014,CE10_chr1_874129,1.00000000
1,2010,CE10_chr1_1393047,1.00000000
1,2011,CE10_chr1_1393047,NA
1,2012,CE10_chr1_1393047,NA
1,2013,CE10_chr1_1393047,1.00000000
1,2014,CE10_chr1_1393047,1.00000000
1,2010,CE10_chr1_1516810,0.81250000
1,2011,CE10_chr1_1516810,0.66666667
1,2012,CE10_chr1_1516810,0.66666667
1,2013,CE10_chr1_1516810,0.58333333
1,2014,CE10_chr1_1516810,0.77777778
1,2010,CE10_chr1_1620799,0.27777778
1,2011,CE10_chr1_1620799,0.21428571
1,2012,CE10_chr1_1620799,0.16666667
1,2013,CE10_chr1_1620799,0.50000000
1,2014,CE10_chr1_1620799,0.40000000
1,2010,CE10_chr1_1723989,0.50000000
1,2011,CE10_chr1_1723989,0.71428571
1,2012,CE10_chr1_1723989,0.41666667
1,2013,CE10_chr1_1723989,0.91666667
1,2014,CE10_chr1_1723989,0.75000000
1,2010,CE10_chr1_2104148,0.94444444
1,2011,CE10_chr1_2104148,1.00000000
1,2012,CE10_chr1_2104148,1.00000000
1,2013,CE10_chr1_2104148,0.83333333
1,2014,CE10_chr1_2104148,1.00000000
1,2010,CE10_chr1_2203269,0.94444444
1,2011,CE10_chr1_2203269,1.00000000
1,2012,CE10_chr1_2203269,1.00000000
1,2013,CE10_chr1_2203269,1.00000000
1,2014,CE10_chr1_2203269,1.00000000
1,2010,CE10_chr1_2715078,0.12500000
1,2011,CE10_chr1_2715078,0.00000000
1,2012,CE10_chr1_2715078,0.00000000
1,2013,CE10_chr1_2715078,0.00000000
1,2014,CE10_chr1_2715078,0.00000000
1,2010,CE10_chr1_3010195,0.88888889
1,2011,CE10_chr1_3010195,0.35714286
1,2012,CE10_chr1_3010195,0.10000000
1,2013,CE10_chr1_3010195,0.16666667
1,2014,CE10_chr1_3010195,0.20000000
1,2010,CE10_chr1_3582172,1.00000000
1,2011,CE10_chr1_3582172,0.78571429
1,2012,CE10_chr1_3582172,1.00000000
1,2013,CE10_chr1_3582172,1.00000000
1,2014,CE10_chr1_3582172,1.00000000
1,2010,CE10_chr1_4152366,0.25000000
1,2011,CE10_chr1_4152366,0.14285714
1,2012,CE10_chr1_4152366,0.00000000
1,2013,CE10_chr1_4152366,0.20000000
1,2014,CE10_chr1_4152366,0.10000000
1,2010,CE10_chr1_4306525,0.00000000
1,2011,CE10_chr1_4306525,NA
1,2012,CE10_chr1_4306525,NA
1,2013,CE10_chr1_4306525,0.00000000
1,2014,CE10_chr1_4306525,NA
1,2010,CE10_chr1_5184906,1.00000000
1,2011,CE10_chr1_5184906,1.00000000
1,2012,CE10_chr1_5184906,1.00000000
1,2013,CE10_chr1_5184906,1.00000000
1,2014,CE10_chr1_5184906,1.00000000
1,2010,CE10_chr1_5639299,0.41666667
1,2011,CE10_chr1_5639299,0.40000000
1,2012,CE10_chr1_5639299,0.50000000
1,2013,CE10_chr1_5639299,0.66666667
1,2014,CE10_chr1_5639299,0.71428571
1,2010,CE10_chr1_6610282,1.00000000
1,2011,CE10_chr1_6610282,1.00000000
1,2012,CE10_chr1_6610282,1.00000000
1,2013,CE10_chr1_6610282,1.00000000
1,2014,CE10_chr1_6610282,1.00000000
1,2010,CE10_chr1_7825995,0.83333333
1,2011,CE10_chr1_7825995,0.83333333
1,2012,CE10_chr1_7825995,0.90000000
1,2013,CE10_chr1_7825995,0.87500000
1,2014,CE10_chr1_7825995,0.93750000
1,2010,CE10_chr1_7910243,1.00000000
1,2011,CE10_chr1_7910243,1.00000000
1,2012,CE10_chr1_7910243,1.00000000
1,2013,CE10_chr1_7910243,1.00000000
1,2014,CE10_chr1_7910243,1.00000000
1,2010,CE10_chr1_8232605,1.00000000
1,2011,CE10_chr1_8232605,1.00000000
1,2012,CE10_chr1_8232605,1.00000000
1,2013,CE10_chr1_8232605,1.00000000
1,2014,CE10_chr1_8232605,1.00000000
