chr_snp,Env,BF
CE10_chr1_865732,1,30.88410024
CE10_chr1_4675850,1,31.53882359
CE10_chr1_10682650,1,30.92863916
CE10_chr2_2890930,1,40.47255851
CE10_chr2_13563156,1,34.14624381
CE10_chr2_22904891,1,33.26969198
CE10_chr2_41091592,1,39.71564205
CE10_chr2_44949494,1,32.44051127
CE10_chr4_9736713,1,38.04157378
CE10_chr4_45367078,1,38.7381815
CE10_chr5_6592466,1,36.27275184
CE10_chr5_8751850,1,40.24457258
CE10_chr5_35111467,1,39.11402739
CE10_chr6_257233,1,31.51528296
CE10_chr6_1416066,1,31.84187074
CE10_chr6_8042005,1,45.26678154
CE10_chr6_60718601,1,32.13947597
CE10_chr7_11015414,1,30.26853556
CE10_chr7_11303734,1,30.65148739
CE10_chr7_18760873,1,32.32247114
CE10_chr7_23178958,1,36.84613685
CE10_chr7_23731913,1,33.70024889
CE10_chr7_28948567,1,32.21326095
CE10_chr7_39914579,1,31.24843227
CE10_chr7_40848773,1,32.97423251
CE10_chr8_47752251,1,31.10042001
CE10_chr1_830671,1,-7.90594938
CE10_chr1_830699,1,-7.28399558
CE10_chr1_831123,1,-7.33896625
CE10_chr1_831243,1,-4.96583607
CE10_chr1_831309,1,-7.0070112
CE10_chr1_831345,1,-8.89378331
CE10_chr1_831388,1,-2.74400513
CE10_chr1_831435,1,-8.29426751
CE10_chr1_831521,1,-9.10143218
CE10_chr1_831528,1,-5.86898951
CE10_chr1_831541,1,-7.90718016
CE10_chr1_831611,1,-7.34071996
CE10_chr1_831628,1,-14.52559673
CE10_chr1_831713,1,-5.76699617
CE10_chr1_831751,1,-7.45108351
CE10_chr1_831785,1,-9.01011674
CE10_chr1_831818,1,-7.25259288
CE10_chr1_832294,1,-6.36601153
CE10_chr1_832302,1,-8.86950197
CE10_chr1_832462,1,-9.27650589
CE10_chr1_832623,1,-8.5778734
CE10_chr1_832966,1,-9.60922876
CE10_chr1_833249,1,3.89364597
CE10_chr1_833333,1,-3.31163388
CE10_chr1_833371,1,-0.69928161
CE10_chr1_833380,1,-2.69976304
CE10_chr1_833492,1,1.85820811
CE10_chr1_833611,1,-0.13267164
CE10_chr1_833785,1,-7.80149734
CE10_chr1_833868,1,-8.14346455
CE10_chr1_833889,1,-7.71012555
CE10_chr1_833987,1,-7.61618999
CE10_chr1_834648,1,-3.44012541
CE10_chr1_834731,1,8.92574399
CE10_chr1_834766,1,-5.69979894
CE10_chr1_834780,1,-10.84342946
CE10_chr1_834781,1,-7.95416796
CE10_chr1_834889,1,-4.12136917
CE10_chr1_834972,1,-11.63665987
CE10_chr1_835058,1,-4.31967732
CE10_chr1_835081,1,-5.52287132
CE10_chr1_835135,1,3.50343016
CE10_chr1_835183,1,0.7252996
CE10_chr1_835284,1,1.88942515
CE10_chr1_835297,1,5.77478084
CE10_chr1_835361,1,7.34455253
CE10_chr1_835448,1,2.34413777
CE10_chr1_835473,1,-6.21688055
CE10_chr1_835498,1,-1.55449496
CE10_chr1_835622,1,-7.38032888
CE10_chr1_835680,1,-7.1330234
CE10_chr1_835723,1,-3.3335504
CE10_chr1_836009,1,-10.1294298
CE10_chr1_836165,1,-3.4513318
CE10_chr1_836211,1,-7.37362406
CE10_chr1_836452,1,-10.11478922
CE10_chr1_836502,1,-6.7904753
CE10_chr1_836506,1,-5.0484699
CE10_chr1_836761,1,0.26317306
CE10_chr1_836805,1,-10.42177528
CE10_chr1_837139,1,-6.94651069
CE10_chr1_837246,1,-11.57997607
CE10_chr1_837347,1,-11.33460484
CE10_chr1_837362,1,-10.22401496
CE10_chr1_837413,1,-8.19124935
CE10_chr1_837452,1,-10.21088394
CE10_chr1_837467,1,-10.21769304
CE10_chr1_837608,1,-4.83220382
CE10_chr1_838162,1,-3.30811186
CE10_chr1_838633,1,-9.03322694
CE10_chr1_839053,1,-6.34510474
CE10_chr1_839086,1,-10.85308154
CE10_chr1_839139,1,-7.05467954
CE10_chr1_839234,1,-4.56287375
CE10_chr1_839237,1,-7.89286191
CE10_chr1_839279,1,-11.24032571
CE10_chr1_839397,1,-6.45890181
CE10_chr1_839936,1,-2.95877343
CE10_chr1_839945,1,-6.286563
CE10_chr1_1150529,1,-1.78586454
CE10_chr1_1150806,1,-8.21628592
CE10_chr1_1151150,1,-10.62024422
CE10_chr1_1151250,1,-7.88670933
CE10_chr1_1151310,1,-8.95371489
CE10_chr1_1151691,1,-6.21508275
CE10_chr1_1152200,1,-9.81990199
CE10_chr1_1152290,1,-3.80488276
CE10_chr1_1152462,1,-8.88690885
CE10_chr1_1152494,1,-6.96304922
CE10_chr1_1152536,1,-6.95134526
CE10_chr1_1152603,1,1.28237537
CE10_chr1_1152617,1,-7.91008031
CE10_chr1_1152666,1,-9.92293131
CE10_chr1_1152709,1,-7.7031657
CE10_chr1_1152753,1,-8.3244064
CE10_chr1_1153072,1,-9.43054969
CE10_chr1_1153078,1,-6.36408168
CE10_chr1_1153240,1,-10.65242023
CE10_chr1_1153276,1,-11.02991089
CE10_chr1_1153313,1,-10.4931986
CE10_chr1_1153329,1,-8.38284008
CE10_chr1_1153370,1,-11.00196215
CE10_chr1_1153403,1,-8.66387445
CE10_chr1_1153433,1,-10.24654598
CE10_chr1_1153453,1,-4.68118759
CE10_chr1_1154110,1,-7.50732799
CE10_chr1_1154192,1,-5.52791806
CE10_chr1_1154417,1,-7.01942947
CE10_chr1_1154459,1,-13.30711047
CE10_chr1_1154474,1,-10.05356994
CE10_chr1_1154568,1,-7.18730674
CE10_chr1_1154989,1,-1.68509217
CE10_chr1_1155101,1,-3.45090719
CE10_chr1_1155142,1,-8.15607328
CE10_chr1_1155506,1,-9.04064527
CE10_chr1_1155604,1,-9.42525513
CE10_chr1_1155619,1,-2.59887898
CE10_chr1_1155664,1,-8.04820583
CE10_chr1_1155679,1,-6.86142015
CE10_chr1_1155770,1,-8.93679638
CE10_chr1_1155794,1,-3.61544916
CE10_chr1_1155884,1,-8.34113341
CE10_chr1_1155985,1,-8.81336978
CE10_chr1_1156271,1,-7.76137579
CE10_chr1_1156472,1,2.3503244
CE10_chr1_1156575,1,-9.63878091
CE10_chr1_1156644,1,-6.42914808
CE10_chr1_1156799,1,1.99212436
CE10_chr1_1156825,1,-9.20642203
CE10_chr1_1156847,1,-8.96849676
CE10_chr1_1156964,1,-7.10080599
CE10_chr1_1157003,1,-11.32712177
CE10_chr1_1157006,1,-10.94289846
CE10_chr1_1157563,1,-11.2638071
