Site,snp_ID,Slope
North,CE10_chr1_865732,-0.13389826687013104
Centre,CE10_chr1_865732,-0.05273030266970211
South,CE10_chr1_865732,0.1849353326794033
North,CE10_chr1_1144907,-0.09698105922228821
Centre,CE10_chr1_1144907,-0.17255087926398774
South,CE10_chr1_1144907,0.13124648875213976
North,CE10_chr1_1521089,0.0037874985076538368
Centre,CE10_chr1_1521089,0.14247472542901732
South,CE10_chr1_1521089,-1.906682185360254e-14
North,CE10_chr1_1568526,2.685417941711255e-7
Centre,CE10_chr1_1568526,2.685417941711255e-7
South,CE10_chr1_1568526,2.685417941711255e-7
North,CE10_chr1_2508598,-0.06488959650764599
Centre,CE10_chr1_2508598,0.2705093923617417
South,CE10_chr1_2508598,-0.1325238692631279
North,CE10_chr1_4675850,-0.6621369694292456
Centre,CE10_chr1_4675850,2.685417941711255e-7
South,CE10_chr1_4675850,4.572870506816918e-14
North,CE10_chr1_7256094,0.14168106995791274
Centre,CE10_chr1_7256094,-0.21033437365657895
South,CE10_chr1_7256094,2.685417941711255e-7
North,CE10_chr1_7287063,-0.04574098306430497
Centre,CE10_chr1_7287063,-0.0832679703539568
South,CE10_chr1_7287063,0.00658651625346908
North,CE10_chr1_9096042,0.6988497408813852
Centre,CE10_chr1_9096042,2.685417941711255e-7
South,CE10_chr1_9096042,0.03257193035877971
North,CE10_chr1_9293767,0.1351687872172082
Centre,CE10_chr1_9293767,-0.2605559163616938
South,CE10_chr1_9293767,18.919038563712075
North,CE10_chr1_9695115,-0.26671003195891213
Centre,CE10_chr1_9695115,0.004686500802252401
South,CE10_chr1_9695115,-0.25823689728290156
North,CE10_chr1_9779479,-0.014663960344188858
Centre,CE10_chr1_9779479,-0.16951357845966283
South,CE10_chr1_9779479,-0.20521872444929903
North,CE10_chr1_10420560,-0.045382547817355144
Centre,CE10_chr1_10420560,-0.1603230414532115
South,CE10_chr1_10420560,2.685417941711255e-7
North,CE10_chr1_12815001,-0.016553762660850332
Centre,CE10_chr1_12815001,-18.47965842338263
South,CE10_chr1_12815001,0.1266821550543961
North,CE10_chr1_18487779,-0.662067408251924
Centre,CE10_chr1_18487779,2.685417941711255e-7
South,CE10_chr1_18487779,1.0799121702264318e-10
North,CE10_chr1_24367122,0.11790736895519702
Centre,CE10_chr1_24367122,0.2655405290181074
South,CE10_chr1_24367122,2.685417941711255e-7
North,CE10_chr1_30319642,19.874543613057668
Centre,CE10_chr1_30319642,-0.11269894722036976
South,CE10_chr1_30319642,20.05546008432051
North,CE10_chr1_31353575,0.032726815111678985
Centre,CE10_chr1_31353575,0.01547392305588224
South,CE10_chr1_31353575,2.685417941711255e-7
North,CE10_chr1_35177242,-5.400516763159204e-15
Centre,CE10_chr1_35177242,0.20421486924718155
South,CE10_chr1_35177242,-0.1187034603760115
North,CE10_chr1_35220219,0.8679173614228491
Centre,CE10_chr1_35220219,0.31424557730343694
South,CE10_chr1_35220219,-0.051404411307597195
North,CE10_chr1_35395120,0.03568547260958161
Centre,CE10_chr1_35395120,0.18366995925022583
South,CE10_chr1_35395120,-0.057176260175276945
North,CE10_chr1_37340153,-0.0496101679572543
Centre,CE10_chr1_37340153,-0.07779402459797355
South,CE10_chr1_37340153,-0.183522161815787
North,CE10_chr1_38194367,0.16007852957339516
Centre,CE10_chr1_38194367,0.008641025198170942
South,CE10_chr1_38194367,2.685417941711255e-7
North,CE10_chr1_38824853,0.23491203928671883
Centre,CE10_chr1_38824853,-0.302687228228851
South,CE10_chr1_38824853,0.24943397753757565
North,CE10_chr1_40315346,0.0694088757789043
Centre,CE10_chr1_40315346,-0.05954756370919501
South,CE10_chr1_40315346,2.685417941711255e-7
North,CE10_chr1_40641544,0.11800898988568014
Centre,CE10_chr1_40641544,0.34461435122380724
South,CE10_chr1_40641544,0.288597099239167
North,CE10_chr1_41391988,0.012377915582395975
Centre,CE10_chr1_41391988,-0.12041260263299132
South,CE10_chr1_41391988,-0.13253963555549816
North,CE10_chr1_41675448,0.028618717621128956
Centre,CE10_chr1_41675448,0.06909995290636045
South,CE10_chr1_41675448,-0.12008902861972809
North,CE10_chr1_42693549,-0.200877266764504
Centre,CE10_chr1_42693549,-0.08470358237129319
South,CE10_chr1_42693549,-0.08030993983732596
North,CE10_chr1_43773360,-0.12953170979660164
Centre,CE10_chr1_43773360,-0.3002725173639238
South,CE10_chr1_43773360,0.13204251692157346
North,CE10_chr1_44567036,0.09568297054639441
Centre,CE10_chr1_44567036,-0.21663639074343793
South,CE10_chr1_44567036,-2.0069104368188194e-12
North,CE10_chr1_44621407,-5.400516763159204e-15
Centre,CE10_chr1_44621407,-18.565273253687053
South,CE10_chr1_44621407,-0.6661335534271523
North,CE10_chr2_241436,-0.2663131198425346
Centre,CE10_chr2_241436,0.09923062393815753
South,CE10_chr2_241436,18.96240693974584
North,CE10_chr2_545931,2.685417941711255e-7
Centre,CE10_chr2_545931,2.685417941711255e-7
South,CE10_chr2_545931,2.685417941711255e-7
North,CE10_chr2_2890930,1.8639140672961094e-15
Centre,CE10_chr2_2890930,-2.9976366123004463e-15
South,CE10_chr2_2890930,-0.8582745125847744
North,CE10_chr2_3439683,0.39284524309737473
Centre,CE10_chr2_3439683,-0.1985478346388057
South,CE10_chr2_3439683,-0.4821618241519319
