chr_snp,snp_c,win,p_bar,q_bar,MAF,Kendall,p_val,empirical_p
CE10_chr1_41670077,41670077,4167,0.2369467338217338,0.7630532661782662,0.2369467338217338,0.3427789306224797,0.00111735038563477,0.02761942773087939
CE10_chr1_41671220,41671220,4167,0.22915400202634245,0.7708459979736575,0.22915400202634245,0.07524465494541586,0.5069141038519605,0.8386603376851357
CE10_chr1_41671246,41671246,4167,0.23059006211180125,0.7694099378881988,0.23059006211180125,0.28534972786544105,0.01260856483872979,0.22209755032268264
CE10_chr1_41671334,41671334,4167,0.1472184785864031,0.8527815214135969,0.1472184785864031,0.14736617525651727,0.1580290716879198,0.6212342183364752
CE10_chr1_41671887,41671887,4167,0.9011896372361488,0.09881036276385112,0.09881036276385112,-0.1707657967507266,0.15371262020829293,0.616156976145831
CE10_chr1_41671953,41671953,4167,0.6624299719887955,0.3375700280112045,0.3375700280112045,0.2675851409456629,0.00792690456003607,0.15628919529727553
CE10_chr1_41671980,41671980,4167,0.9499012855831036,0.05009871441689628,0.05009871441689628,-0.25361070886536413,0.01773608950057402,0.2750554957297783
CE10_chr1_41672009,41672009,4167,0.5555073461891644,0.4444926538108356,0.4444926538108356,0.1665741110423364,0.08033581570906588,0.5096913575598446
CE10_chr1_41672045,41672045,4167,0.5536065197428833,0.4463934802571166,0.4463934802571166,0.19482439459453119,0.04058015557942042,0.4011255613373194
CE10_chr1_41672120,41672120,4167,0.8173124098124098,0.18268759018759015,0.18268759018759015,0.20115864700345207,0.04019956104173741,0.40006543182915433
CE10_chr1_41672225,41672225,4167,0.8409668109668109,0.15903318903318908,0.15903318903318908,0.2478577154316083,0.01584406398715182,0.25743910530759234
CE10_chr1_41672282,41672282,4167,0.32744608786275453,0.6725539121372455,0.32744608786275453,0.33738858329914784,5.381963482538714e-4,0.01427618758351553
CE10_chr1_41672314,41672314,4167,0.6240263080540859,0.3759736919459141,0.3759736919459141,0.28104211308532506,0.00375248225500358,0.08091791987027429
CE10_chr1_41672347,41672347,4167,0.830595238095238,0.16940476190476195,0.16940476190476195,0.2325383815238409,0.02088078994305916,0.3007019278961324
CE10_chr1_41672355,41672355,4167,0.92007215007215,0.07992784992784996,0.07992784992784996,0.1353815554187475,0.1908153771949528,0.6546483792234697
CE10_chr1_41672487,41672487,4167,0.9107105420784666,0.08928945792153342,0.08928945792153342,0.2178753682245442,0.03806304539808827,0.3915952731778867
CE10_chr1_41672516,41672516,4167,0.9435642135642136,0.05643578643578639,0.05643578643578639,0.1404125293036658,0.18483518218239636,0.6489415021039429
CE10_chr1_41672524,41672524,4167,0.08799783549783549,0.9120021645021644,0.08799783549783549,0.04994231521649407,0.6367552062795807,0.8867564973722678
CE10_chr1_41672556,41672556,4167,0.9477807293716384,0.05221927062836151,0.05221927062836151,-0.11200075286984988,0.2952290056343138,0.7320491290956601
CE10_chr1_41672649,41672649,4167,0.5303225402715198,0.4696774597284802,0.4696774597284802,0.19414625046904385,0.05638716968278692,0.45404836432977974
CE10_chr1_41673098,41673098,4167,0.3951472517381608,0.6048527482618391,0.3951472517381608,0.43038549297523215,1.0363773634211276e-5,1.4726345180510685e-4
CE10_chr1_41673135,41673135,4167,0.8434415584415584,0.15655844155844156,0.15655844155844156,0.2848834002717301,0.00460713723038451,0.09463643080249376
CE10_chr1_41673313,41673313,4167,0.4966305916305917,0.5033694083694084,0.4966305916305917,0.3039525753495595,0.00183493642591853,0.04326282258854005
CE10_chr1_41673355,41673355,4167,0.39930735930735933,0.6006926406926407,0.39930735930735933,0.48673322871926666,6.60666911286414e-7,4.1836207899178085e-6
CE10_chr1_41673392,41673392,4167,0.3505985176439722,0.6494014823560278,0.3505985176439722,0.4503171717462309,3.435535461592457e-6,4.267293205716165e-5
CE10_chr1_41673552,41673552,4167,0.8525242504409171,0.14747574955908294,0.14747574955908294,0.18905302898128987,0.06316501995282761,0.4715810823361673
CE10_chr1_41673599,41673599,4167,0.9250793650793652,0.07492063492063494,0.07492063492063494,0.11228093465203436,0.28307107242592366,0.7243813889118988
